var25_xgb_sfbs,mtly
0.029416373,0.0
0.039203517,0.0
0.013795723,0.0
0.02951956,0.0
0.08719822,0.0
0.016848095,0.0
0.48848236,1.0
0.15744224,0.0
0.06640606,1.0
0.16145371,0.0
0.088810235,0.0
0.045304097,0.0
0.013510142,0.0
0.09047955,0.0
0.01249044,0.0
0.07345088,0.0
0.082765475,0.0
0.3446372,0.0
0.19541639,0.0
0.040831167,0.0
0.07766566,0.0
0.6372588,1.0
0.026804304,0.0
0.30073175,0.0
0.4364455,1.0
0.032156985,0.0
0.03999448,0.0
0.123513356,0.0
0.103723235,1.0
0.13311554,1.0
0.09044333,0.0
0.5735896,1.0
0.2183986,1.0
0.008628397,0.0
0.12108131,0.0
0.012295964,0.0
0.21423385,0.0
0.027396997,0.0
0.012626535,0.0
0.012082205,0.0
0.018403135,0.0
0.41841137,1.0
0.0071587223,0.0
0.009675015,0.0
0.03990241,0.0
0.08517667,1.0
0.3534207,1.0
0.0680098,1.0
0.06494616,0.0
0.027930306,0.0
0.6380613,0.0
0.01881018,1.0
0.039185133,0.0
0.1073776,0.0
0.010226576,0.0
0.5746394,3.0
0.6945793,1.0
0.03251484,0.0
0.10515421,0.0
0.005688662,0.0
0.017057704,0.0
0.18102701,0.0
0.008516001,0.0
0.05641093,0.0
0.08063023,3.0
0.08840288,1.0
0.026016545,0.0
0.23276266,0.0
0.1323748,0.0
0.03242999,0.0
0.09638981,0.0
0.122650824,0.0
0.06387461,0.0
0.46509445,0.0
0.062032938,0.0
0.051775843,0.0
0.30902642,0.0
0.008303315,0.0
0.042731144,0.0
0.055870127,0.0
0.026724007,0.0
0.06859552,0.0
0.019015895,0.0
0.016953424,0.0
0.04524345,0.0
0.17457268,0.0
0.023526281,1.0
0.06631122,0.0
0.04248253,0.0
0.0339221,0.0
0.013373485,0.0
0.049742516,2.0
0.009047423,0.0
0.016203878,0.0
0.015070175,0.0
0.1326669,0.0
0.34751937,3.0
0.04910789,0.0
0.06370031,0.0
0.28984225,0.0
0.011922262,0.0
0.31797773,1.0
0.20507365,0.0
0.13792564,0.0
0.15383342,0.0
0.06701128,0.0
0.64386517,1.0
0.32118854,0.0
0.06540895,0.0
0.11295275,0.0
0.032577302,0.0
0.075938866,0.0
0.014856706,0.0
0.04283268,0.0
0.043178774,0.0
0.3325468,0.0
0.17433265,0.0
0.11265092,0.0
0.0955516,0.0
0.23308504,0.0
0.07913652,0.0
0.011291033,0.0
0.018882923,0.0
0.035078757,0.0
0.009952751,0.0
0.26244798,0.0
0.21908766,3.0
0.022862388,0.0
0.023725878,0.0
0.013569882,0.0
0.08397166,0.0
0.07620816,0.0
0.47657976,1.0
0.0107003525,0.0
0.07057832,0.0
0.024282278,0.0
0.037785675,0.0
0.05171739,0.0
0.04322669,0.0
0.11631271,0.0
0.061089214,0.0
0.10184916,0.0
0.09723413,0.0
0.008237,0.0
0.014716071,0.0
0.26061094,0.0
0.6564076,1.0
0.018625801,0.0
0.16211654,1.0
0.06358209,0.0
0.035771027,0.0
0.11371757,0.0
0.09543925,0.0
0.08606433,0.0
0.050973814,0.0
0.05365976,0.0
0.06601152,0.0
0.12281638,0.0
0.15663178,0.0
0.122306265,0.0
0.045376748,0.0
0.110456906,0.0
0.16528158,0.0
0.044624094,0.0
0.08436387,0.0
0.259371,0.0
0.010089321,0.0
0.059275493,0.0
0.029815195,0.0
0.007577008,0.0
0.015058737,0.0
0.050292928,0.0
0.16572943,0.0
0.04317266,0.0
0.018829526,0.0
0.021539936,0.0
0.008708674,0.0
0.063632436,0.0
0.20883392,1.0
0.06517352,0.0
0.04149786,0.0
0.07290389,0.0
0.025186902,0.0
0.16670695,0.0
0.009395737,0.0
0.18897067,0.0
0.054936934,0.0
0.007071848,0.0
0.03992138,0.0
0.011542723,0.0
0.11981128,1.0
0.32351056,1.0
0.16927591,0.0
0.0060374383,0.0
0.32694614,1.0
0.03302202,0.0
0.021399044,0.0
0.08443653,0.0
0.055619847,0.0
0.035259295,0.0
0.055893473,0.0
0.043191172,0.0
0.06322699,0.0
0.05266139,0.0
0.036230505,0.0
0.057890374,0.0
0.01834862,0.0
0.120978266,0.0
0.12836401,0.0
0.0942316,0.0
0.027762476,1.0
0.12045809,0.0
0.04642796,0.0
0.02795791,0.0
0.046100855,0.0
0.024852613,0.0
0.009444762,0.0
0.017319456,0.0
0.045130316,0.0
0.017159171,0.0
0.00843535,0.0
0.043357074,0.0
0.019290717,0.0
0.21837372,3.0
0.033166904,0.0
0.12550308,0.0
0.018880172,0.0
0.010144682,0.0
0.08082778,0.0
0.012683926,0.0
0.033792894,0.0
0.19824445,0.0
0.08980235,0.0
0.3439716,1.0
0.57806987,1.0
0.1081324,0.0
0.0510416,0.0
0.17067894,0.0
0.108197026,0.0
0.1532548,0.0
0.021059139,0.0
0.41323477,3.0
0.03877238,0.0
0.54670614,1.0
0.049727224,0.0
0.19719836,0.0
0.12043639,0.0
0.15927036,0.0
0.023618165,0.0
0.08773463,0.0
0.01031731,0.0
0.016227301,0.0
0.06470424,0.0
0.1496228,0.0
0.03482395,0.0
0.12656443,0.0
0.12649405,0.0
0.036268454,0.0
0.11478047,1.0
0.020683516,0.0
0.07094524,0.0
0.014291983,0.0
0.33242452,0.0
0.042348213,0.0
0.13161366,0.0
0.59994715,1.0
0.12392465,0.0
0.0062050256,0.0
0.013619323,0.0
0.054740436,0.0
0.013073198,0.0
0.22078216,1.0
0.3498972,1.0
0.057665695,0.0
0.15396324,1.0
0.19162817,1.0
0.027296647,0.0
0.04073961,0.0
0.044358164,0.0
0.018624354,0.0
0.019080745,0.0
0.06712778,0.0
0.10341464,0.0
0.10632063,0.0
0.008078396,0.0
0.27874014,0.0
0.052593544,0.0
0.050551157,0.0
0.18426932,0.0
0.031322103,0.0
0.03399163,0.0
0.10720631,0.0
0.49376905,0.0
0.11173981,0.0
0.011767827,0.0
0.045133993,0.0
0.035416283,0.0
0.057035998,0.0
0.5659476,0.0
0.085467614,3.0
0.13065074,0.0
0.49403602,0.0
0.14084828,0.0
0.041736037,0.0
0.02564976,0.0
0.007663765,0.0
0.15844463,0.0
0.036920294,0.0
0.08096031,0.0
0.020393265,0.0
0.029181855,0.0
0.021859167,0.0
0.011194546,0.0
0.12059043,1.0
0.09801377,0.0
0.048881855,0.0
0.3207374,0.0
0.10716785,0.0
0.054324158,0.0
0.07914685,0.0
0.037303295,0.0
0.06785345,0.0
0.06848047,0.0
0.07021374,1.0
0.14388281,0.0
0.07944926,0.0
0.06602458,0.0
0.10561314,0.0
0.059281014,0.0
0.010851746,0.0
0.106600694,0.0
0.009231165,0.0
0.016919002,0.0
0.021998327,0.0
0.05243332,0.0
0.1023986,0.0
0.017760469,0.0
0.023423282,0.0
