"threshold","all","none","cabg only","avr only","cabg+avr","cabg+mvr","mvr only","aortic +/-other","other","double valve","not recorded"
0.01,0.00324821118944839,0,0.00669189311922136,0.00652237173505122,0.0242885911916645,0.0556940253909951,0.0123918509994459,0.0778952516955111,0.0345837557733469,0.0579383196813034,0.0675990675990676
0.02,-0.00692272543106744,0,0.00515998605702052,0.00509605088310046,0.0178478956594458,0.0481785787908237,0.0102342202703866,0.0710844649143704,0.0279948410591002,0.0490579688300726,0.0608880915003364
0.03,-0.017303372084996,0,0.00373152144195477,0.00379207899590441,0.0129544328272119,0.0419065470611862,0.00936752359824264,0.0638190238053851,0.0227417314988694,0.0427203094306294,0.0518636003172086
0.04,-0.0279002822108814,0,0.00318962211274669,0.00318718203437792,0.00977804045179931,0.0391113516113516,0.00767405063291139,0.058410794062545,0.0213135068153656,0.039561792220581,0.0480311355311355
0.05,-0.0387202851815222,0,0.00262234097885204,0.00245262302328566,0.00768114138774833,0.0338725601883497,0.00706195869420386,0.0539172184676997,0.022109176286441,0.0340977998911607,0.0455754771544245
0.06,-0.0497705009813256,0,0.00238191925576164,0.00232883898153646,0.00660597220126419,0.0280464216634429,0.00594757159529581,0.0487209206060104,0.0212212291386538,0.0293409598038908,0.0440495674538228
0.07,-0.0610583558305872,0,0.00202213596556754,0.00241020247837178,0.00457222264589,0.0229794100761843,0.00536727008756409,0.0440497608189337,0.0195187272654595,0.0258191578913931,0.0429398558430817
0.08,-0.0725915988287457,0,0.00194311234011007,0.00214387523117336,0.00371398225237263,0.020703933747412,0.00476976701522656,0.0394650275381116,0.0197026022304833,0.024519940915805,0.0405637840420449
0.09,-0.0843783196949957,0,0.00172166250811639,0.00195604991053379,0.00310186267633076,0.019718376861234,0.00458339129225205,0.0374662086724344,0.0178234405000204,0.0211144837437304,0.0370969689651008
0.1,-0.0964269676916067,0,0.00159624505475416,0.00195671152051537,0.00199632256369845,0.0177970177970178,0.00379746835443038,0.0336023442378825,0.0167699297810822,0.0162481536189069,0.0333333333333333
0.11,-0.108746371822973,0,0.00148756501053526,0.00143582375187342,0.00139718968310888,0.0146164696726494,0.00310529559569525,0.0311648377271601,0.0163944697381062,0.0164473138266974,0.0299790097542907
0.12,-0.121345762411871,0,0.00140524391977237,0.00138338136170702,0.00134680134680135,0.0126262626262626,0.00307825086306099,0.0293007900011791,0.0150895572828658,0.0151201826238754,0.0294205794205794
0.13,-0.134234794163731,0,0.00133154166891303,0.0013048203614259,0.00120105431917611,0.0105985968054934,0.00259954410980164,0.0264993962162887,0.0139853864889117,0.0144518582658449,0.0261588985726917
0.14,-0.147423570840054,0,0.00117037135622441,0.00121603145300007,0.00116553961185332,0.00968153293734689,0.00251202041016583,0.0246835379402568,0.0134779977522262,0.0130122634055855,0.0239969332992589
0.15,-0.160922671673466,0,0.00102900831709421,0.00107840481085417,0.00101979326009364,0.00857312622018504,0.00217175477786051,0.0236133363851377,0.0131642247977258,0.0126857242158311,0.0211376858435682
0.16,-0.174743179669579,0,0.00102966936796843,0.000980505992697811,0.00052534804307854,0.00759293616436474,0.00213984327908378,0.021380190640891,0.0133651973800673,0.0132095378771893,0.0218210361067504
0.17,-0.188896711954754,0,0.0010324788341839,0.000983614762490765,0.000548767172709751,0.00633703645751839,0.00127599003609374,0.0196948624589148,0.0129529269494334,0.0123507323236817,0.0192109095723553
0.18,-0.203395452344447,0,0.0010087354184849,0.00104627163854949,0.000549693440196813,0.00473374863618766,0.00078728002469898,0.0173041030021195,0.0129567503853477,0.0103973772381742,0.0171535781291879
0.19,-0.218252186324008,0,0.000966196242359748,0.000816132668385897,0.000515619375614122,0.00494361605472717,0.00087774131374694,0.0168265253291914,0.0120886685942448,0.00924922953480314,0.0138787138787139
0.2,-0.233480338653058,0,0.000951355497212307,0.000812787862367922,0.000551615445232467,0.00505050505050505,0.00100210970464135,0.0162667531344574,0.0118029739776952,0.00841949778434269,0.0129120879120879
0.21,-0.249094013825881,0,0.000837185369345498,0.000725907584533939,0.000624432673988289,0.00468518822949203,0.000894621588420659,0.0154711673699015,0.0108983106677333,0.00781930706953611,0.0119905411044652
0.22,-0.265108039644162,0,0.00072613896030516,0.000761843893786457,0.000311167687054212,0.00471750471750472,0.00108730931515742,0.0154533461926458,0.0104851777714231,0.0077188198310798,0.0108763031839955
0.23,-0.281538014184995,0,0.000668525256271207,0.0004832158719994,0.00032134925751947,0.00457262794925133,0.00131788043180448,0.0150195675487504,0.0108048085743253,0.0071745093901667,0.0106179534750963
0.24,-0.298400356476903,0,0.000661407493777956,0.000532352284124019,0.000489403176973166,0.00394926710716184,0.00145458583166778,0.0135617903383621,0.0114263353551164,0.00729223353805488,0.00821283979178716
0.25,-0.315712361229928,0,0.000629320432264472,0.000180619524970649,0.000577882847386394,0.00408850408850409,0.00112517580872011,0.0123216601815824,0.0115241635687732,0.0068931560807484,0.00732600732600733
0.26,-0.333492258003306,0,0.000640216605289321,0.000168415503013173,0.000579302706962281,0.0038025038025038,0.00117459231383282,0.0125787265865087,0.0115442580126595,0.00593237254980239,0.00516780516780517
0.27,-0.351759275236228,0,0.000594837120907514,-7.91756821789148e-05,0.000759955525330052,0.00278716717072881,0.00123692272122999,0.0115843149796564,0.0102357793960381,0.00520426539325388,0.00526870389884088
0.28,-0.370533709614509,0,0.000570321641739678,-8.52925534583623e-05,0.000682952456002101,0.00276575276575276,0.00155883731833099,0.0107604361819667,0.00993391160677406,0.00487444608567208,0.00518925518925519
0.29,-0.38983700129922,0,0.00060120598513646,-5.21507079140609e-05,0.000645956114940232,0.00102636018128976,0.00157484994354311,0.0106958221442794,0.00987486255824912,0.00421078910687166,0.0039158025073518
0.3,-0.409691815603494,0,0.000552060111339146,-0.000103211157126085,0.000292693909715186,0.00195835910121624,0.00159734779987945,0.0095114569822741,0.00982474774296336,0.00333403671660688,0.00376766091051805
0.31,-0.430122131771661,0,0.000550655378231413,-6.67506940108922e-05,0.000253537533833556,0.00235271974402409,0.00129945575735339,0.00830529395915963,0.0101179893324713,0.00375912486888018,0.0041407867494824
0.32,-0.451153339591833,0,0.000520577563454067,-1.062467793945e-05,0.000129791869466463,0.00280112044817927,0.00112931248448747,0.00874850588743928,0.00992783730592609,0.00324963072378139,0.00407239819004525
0.33,-0.472812344660367,0,0.000535392009538431,8.08744141659614e-06,9.17398821495359e-05,0.00187374814240486,0.00117765602367907,0.00801762910480025,0.00991510847250735,0.00331576974801032,0.00455961948499262
0.34,-0.495127683215828,0,0.000538140483271608,3.01032541617748e-05,0.000133724956419992,0.000940137303773667,0.000914205344585091,0.00742836929607357,0.00972175284442942,0.00326753502528982,0.00409590409590409
