"","threshold","all","none","Xgboost","Logistic Regression"
"33",0.33,-0.452961969196506,0,0.00151514562040782,0.000964851647574967
"34",0.34,-0.474976544487362,0,0.00133931196577821,0.000825879790168607
"35",0.35,-0.497668491325629,0,0.00123760446116863,0.000770857144130234
"36",0.36,-0.521069561502592,0,0.00119833753294523,0.000490558113939815
"37",0.37,-0.545213522796284,0,0.00117161586446494,0.000302730644202535
"38",0.38,-0.570136321551063,0,0.00109217937901801,0.000229834155037152
"39",0.39,-0.595876261248621,0,0.000979038974962337,7.76299090234438e-05
"40",0.4,-0.622474198936098,0,0.000902675201050385,1.44814203377067e-05
"41",0.41,-0.649973761629931,0,0.000870112459274073,-5.62075467344888e-05
"42",0.42,-0.678421585106309,0,0.000799973633827799,-4.1946183047151e-05
"43",0.43,-0.707867577827472,0,0.000714162676654274,-9.19697221447337e-05
"44",0.44,-0.73836521314582,0,0.000605116492682745,-0.000156192462213837
"45",0.45,-0.769971853384835,0,0.000541078523527042,-0.000214588319549654
"46",0.46,-0.802749109928998,0,0.000447314983764719,-0.000181822277573429
"47",0.47,-0.836763244078602,0,0.000417502080679545,-0.000223778929369468
"48",0.48,-0.872085614157037,0,0.000397682081581638,-0.000298540050038877
"49",0.49,-0.908793175218939,0,0.000410590858986744,-0.00037055399099426
"50",0.5,-0.946969038723318,0,0.000376516928780375,-0.000376516928780375
"51",0.51,-0.98670310073808,0,0.000346963009723831,-0.000374448154446417
"52",0.52,-1.02809274867012,0,0.000400652629343219,-0.000392205134146224
"53",0.53,-1.0712436582163,0,0.000337078167009599,-0.000407636576740128
"54",0.54,-1.11627069426448,0,0.000242406383913786,-0.00034062819142171
"55",0.55,-1.1632989319148,0,0.000194694651206946,-0.000347554088104962
"56",0.56,-1.21246481673104,0,0.000185625478874241,-0.000280412957448321
"57",0.57,-1.26391748688758,0,0.000176808039006884,-0.00036270906287698
"58",0.58,-1.31782028419443,0,0.000117230545590959,-0.000413754866791621
"59",0.59,-1.37435248624795,0,0.000191437312757001,-0.000422433627412128
"60",0.6,-1.43371129840415,0,0.000137573493208214,-0.000419961189793495
"61",0.61,-1.49611415220938,0,3.49039361985751e-05,-0.000357951005270494
"62",0.62,-1.56180136674121,0,2.21032205154471e-05,-0.000254568125936529
"63",0.63,-1.631039241518,0,7.6320999077103e-05,-0.000329158770378685
"64",0.64,-1.7041236648935,0,8.04523352094818e-05,-0.000362035508442668
"65",0.65,-1.78138434103331,0,2.68940663414553e-05,-0.00039306712345204
"66",0.66,-1.86318976282841,0,-5.28145918198716e-05,-0.000431035217110565
"67",0.67,-1.94995308897472,0,-6.05586668667736e-05,-0.000390998349118082
"68",0.68,-2.04213912300518,0,-2.17221305065601e-05,-0.000461595273264402
"69",0.69,-2.14027264310213,0,-2.75614129007967e-05,-0.00045686545452507
"70",0.7,-2.2449483978722,0,3.37899807879823e-05,-0.000381344068892944
"71",0.71,-2.35684317021262,0,5.14340101649583e-05,-0.000424455423691404
"72",0.72,-2.47673042629164,0,7.24071016885336e-05,-0.000448924030468908
"73",0.73,-2.605498219858,0,7.24071016885336e-05,-0.000464478148609408
"74",0.74,-2.74417122831407,0,5.79256813508269e-05,-0.000522445087568035
"75",0.75,-2.89393807744664,0,2.89628406754134e-05,-0.000477886871144322
"76",0.76,-3.05618549734025,0,1.44814203377067e-05,-0.00053098541238258
"77",0.77,-3.23254138852895,0,1.44814203377067e-05,-0.000470960974461071
"78",0.78,-3.42492963346209,0,1.44814203377067e-05,-0.000456822987016749
"79",0.79,-3.63564056838885,0,0,-0.000508918486153694
"80",0.8,-3.8674225968083,0,0,-0.000448924030468908
"81",0.81,-4.12360273348242,0,0,-0.000378041288815923
"82",0.82,-4.408247329787,0,0,-0.000294455546866704
"83",0.83,-4.72637952565682,0,0,-0.00019592509868662
"84",0.84,-5.08427824601037,0,0,-0.000141193848292641
"85",0.85,-5.48989679574439,0,0,-9.6542802251378e-06
"86",0.86,-5.95346085258328,0,0,-3.10316150093715e-05
"87",0.87,-6.48834245662815,0,0,4.34442610131202e-05
"88",0.88,-7.11237099468049,0,0,2.89628406754134e-05
"89",0.89,-7.84985926692417,0,0,0
"90",0.9,-8.73484519361659,0,0,0
"91",0.91,-9.81649465957399,0,0,0
"92",0.92,-11.1685564920207,0,0,0
"93",0.93,-12.9069217051666,0,0,0
"94",0.94,-15.224741989361,0,0,0
"95",0.95,-18.4696903872332,0,0,0
"96",0.96,-23.3371129840415,0,0,0
"97",0.97,-31.4494839787219,0,0,0
"98",0.98,-47.6742259680829,0,0,0
"99",0.99,-96.3484519361658,0,0,0
